clientid,region,branch,client_gender,income,vehicle_production_year,vehicle_initial_assessment_value,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_initial_amount,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,client_type,ratio
39,Unknown,branch 6,female,1440,2005,7872,38.0,1,0,leaseback,72,6240,0.792682926829268,36.5497421488447,3.374,default,0.520833333333333
40,region 3,branch 3,male,960,1999,9120,28.0,0,1,leaseback,90,5760,0.631578947368421,36.9276260915394,3.374,default,0.516666666666667
41,region 6,branch 6,male,1488,2011,19200,25.0,0,0,leaseback,54,14400,0.75,36.6953869422413,3.374,default,0.5
42,region 8,branch 6,male,0,1994,6240,53.0,0,0,leaseback,9,1680,0.269230769230769,47.4970339577036,3.374,default,0.5
43,region 10,branch 3,male,1920,1999,3360,40.0,0,0,leaseback,36,1920,0.571428571428571,38.6818369713835,3.374,default,0.5
44,region 5,branch 2,male,1440,1998,7680,43.0,0,1,leaseback,18,2160,0.28125,39.6679982704884,2.6710832771,default,0.5
45,region 6,branch 5,male,960,2000,7200,33.0,0,0,leaseback,36,5760,0.8,36.0575083225756,3.374,default,0.5
46,region 9,branch 3,female,960,1996,8640,33.0,0,0,leaseback,54,4800,0.555555555555556,36.4962762199259,3.374,default,0.5
47,Unknown,branch 3,female,0,2006,6000,25.0,0,0,leaseback,36,3840,0.64,38.8258762529632,3.374,default,0.5
48,Unknown,branch 3,male,0,2006,10080,27.0,0,0,leaseback,90,7200,0.714285714285714,34.7543369528358,3.374,default,0.483333333333333
49,region 5,branch 3,male,336,1998,6720,41.0,0,0,leaseback,72,5760,0.857142857142857,36.3872727136722,3.374,default,0.479166666666667
50,region 6,branch 6,male,960,1999,5088,31.0,0,0,leaseback,54,2400,0.471698113207547,36.661215103888,3.374,default,0.472222222222222
51,region 10,branch 3,male,1056,2003,8496,29.0,0,0,leasing,54,6720,0.790960451977401,36.6551189029627,3.374,default,0.472222222222222
52,Unknown,branch 5,male,720,2001,9600,35.0,0,0,leasing,54,6240,0.65,36.2535821007896,3.374,default,0.472222222222222
53,region 8,branch 6,female,0,1995,2880,49.0,0,0,leaseback,36,1920,0.666666666666667,37.9643289888074,3.374,default,0.458333333333333
54,region 8,branch 6,male,336,1996,6720,42.0,0,0,leasing,36,4800,0.714285714285714,38.3352771118305,3.374,default,0.458333333333333
55,region 6,branch 2,male,0,2000,5760,38.0,0,0,leaseback,36,2880,0.5,39.3608482985015,3.374,default,0.458333333333333
56,region 6,branch 2,male,0,2006,14400,40.0,0,0,leaseback,90,7200,0.5,36.1455799223165,3.374,default,0.45
57,region 8,branch 6,male,1200,2000,7200,28.0,0,0,leaseback,54,5280,0.733333333333333,36.1744336166354,3.374,default,0.444444444444444
58,region 6,branch 3,male,1920,1996,6720,32.0,0,0,leaseback,54,4800,0.714285714285714,35.9860088932347,3.374,default,0.444444444444444
59,region 6,branch 3,male,624,2005,8640,25.0,0,0,leaseback,54,5280,0.611111111111111,35.9712603645851,3.374,default,0.444444444444444
60,region 3,branch 5,male,0,2002,10560,35.0,0,0,leasing,72,8400,0.795454545454545,35.592976254444,3.374,default,0.4375
61,region 2,branch 6,male,1680,2005,14400,43.0,0,0,leaseback,90,7200,0.5,35.1136381897955,3.374,default,0.433333333333333
62,region 3,branch 2,male,2400,2005,8640,41.0,0,0,leaseback,54,6240,0.722222222222222,36.0499755483871,3.374,default,0.416666666666667
