client_gender,vehicle_production_year,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,region_region 1,region_region 10,region_region 11,region_region 12,region_region 2,region_region 3,region_region 4,region_region 5,region_region 6,region_region 7,region_region 8,region_region 9,branch_branch 2,branch_branch 3,branch_branch 4,branch_branch 5,branch_branch 6,branch_branch 7,default_status,log_income,log_vehical_value,log_loan_amount
1,1996,61.0,0,0,0,54,0.8,37.86396928738,3.374,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.090076835776092,8.658692753689937,8.435549202375727
1,2005,27.0,0,0,1,54,0.8,36.9512701034434,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,8.476371196895983,8.253227645581772
0,2005,31.0,0,0,0,72,0.5,35.8749746900682,3.374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,7.272398392570047,8.812843433517195,8.11969625295725
0,1998,34.0,0,0,0,36,0.454545454545455,35.7944880730569,2.6710832771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,8.571681376700306,7.783224016336037
0,1999,37.0,0,0,0,54,0.636363636363636,37.8235023547167,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6.866933284461882,8.571681376700306,8.11969625295725
1,2002,31.0,0,0,0,54,0.208333333333333,36.5581202334535,3.374,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.090076835776092,9.351839934249883,7.783224016336037
1,2001,28.0,0,0,0,54,0.380952380952381,37.6867589051974,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.3561076606958915,9.21830854162536,8.253227645581772
1,2009,34.0,0,1,1,54,0.740740740740741,36.909635147118,3.374,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6.579251212010101,8.776475789346321,8.476371196895983
1,2007,33.0,0,0,0,90,0.842105263157895,36.8247934497694,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7.203405521083095,9.118225083068378,8.946374826141717
0,2002,22.0,0,0,0,72,0.625,35.7727043609401,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0,9.351839934249883,8.881836305004146
1,2012,22.0,0,0,0,90,0.409090909090909,35.4565717721097,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.272398392570047,9.264828557260252,8.371010681238156
1,2011,23.0,0,0,1,54,0.666666666666667,36.1620903535347,3.374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6.173786103901937,9.064157861798101,8.658692753689937
